name,reps,episodes,seeds,succ,clean,recovery,fight_won,f_coil,f_buckle,f_thrash,f_shove,med_steps,lead_end_med,lead_frac50,cathled_succ,rec_share_of_succ,rec_tipretreat_share,tipretreat_med_rec,coil_share_of_fail,buckle_share_of_fail,thrash_share_of_fail,fail_pmax_med,fail_midpath_share,fail_loop_share,loop_any,loop_escaped
car_best_host,3,268,98,0.933,0.164,0.354,0.414,0.0,0.004,0.0,0.063,186.0,-28.054,0.005,0.104,0.38,0.956,16.001,0.0,0.056,0.0,0.906,0.0,0.0,0.004,1.0
proc_on_host,1,98,98,0.469,0.245,0.061,0.163,0.0,0.0,0.184,0.347,601.0,25.142,0.191,0.522,0.13,0.957,12.99,0.0,0.0,0.346,0.567,0.808,0.038,0.02,0.0
