name,cath-led-run,deep-recovery,doorstep-stall,fight-escaped-near,light-recovery,shove-capped,stuck-midpath,stuck-proximal
car_best_host,0,0,7,1,0,1,9,0
proc_on_host,12,3,0,0,3,3,30,1
