png,tag,pid,ep,old_cluster,new_cluster,n_match,success,steps,new_name
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/diagnostics/snapshots/explore/RCCA\success\ep019_pid10419_step111_R+5.28_success.png,car_nopriv,10419,19,3,3,1,True,111,3:light-recovery-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-08_220413_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\success\ep012_pid394_step422_R+4.34_success.png,car_v3a,394,12,3,3,1,True,422,3:light-recovery-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/diagnostics/snapshots/explore/RCCA\success\ep005_pid6077_step132_R+5.36_success.png,car_nopriv,6077,5,3,3,1,True,132,3:light-recovery-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/diagnostics/snapshots/explore/RCCA\success\ep057_pid11034_step173_R+5.66_success.png,car_nopriv,11034,57,4,4,1,True,173,4:deep-recovery-success
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-25_000146_rcca_procedural_v3c3/diagnostics/snapshots/explore/RCCA\max_steps\ep008_pid1550_step600_R-1.70_max_steps.png,v3c3,1550,8,4,4,1,False,600,4:deep-recovery-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-01_163054_rcca_topbrain_repl/diagnostics/snapshots/explore/RCCA\success\ep068_pid5047_step264_R+6.05_success.png,tb_repl,5047,68,4,4,1,True,264,4:deep-recovery-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\success\ep016_pid85_step560_R+4.82_success.png,car_v3,85,16,4,4,1,True,560,4:deep-recovery-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-08_220413_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep003_pid5348_step600_R-3.01_max_steps.png,car_v3a,5348,3,4,10,1,False,600,10:proximal-thrash
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/diagnostics/snapshots/explore/RCCA\max_steps\ep007_pid160_step600_R-0.55_max_steps.png,tb_v2,160,7,4,4,1,False,600,4:deep-recovery-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-01_163054_rcca_topbrain_repl/diagnostics/snapshots/explore/RCCA\max_steps\ep038_pid5047_step600_R+0.06_max_steps.png,tb_repl,5047,38,5,5,1,False,600,5:shove-fight
