tag,win,n,ex_succ,next_succ,prev_succ,med_steps,rec_share,rec_share_of_succ,coil,shove,thrash,near,far,fail_coil,fail_thrash,fail_shove,fail_near
v3a,6,712.0,45.36516853932584,52.04081632653062,52.04081632653062,600.0,0.1404494382022472,0.30959752321981426,0.8426966292134831,53.65168539325843,0.1404494382022472,0.1404494382022472,0.0,1.5424164524421593,0.2570694087403599,97.94344473007712,0.2570694087403599
v3a,7,717.0,43.51464435146444,48.97959183673469,52.04081632653062,600.0,0.41841004184100417,0.9615384615384616,0.41841004184100417,56.62482566248257,0.1394700139470014,0.0,0.0,0.7407407407407408,0.24691358024691357,99.01234567901234,0.0
v3a,8,712.0,45.36516853932584,47.95918367346938,48.97959183673469,600.0,0.0,0.0,1.1235955056179776,53.65168539325843,0.2808988764044944,0.0,0.0,2.056555269922879,0.5141388174807198,97.42930591259639,0.0
v3a,9,727.0,45.667125171939475,50.0,47.95918367346938,600.0,0.0,0.0,0.0,55.02063273727648,0.2751031636863824,0.0,0.0,0.0,0.25316455696202533,99.74683544303798,0.0
v3a,10,826.0,47.57869249394673,50.0,50.0,600.0,0.12106537530266344,0.2544529262086514,0.0,53.26876513317191,0.12106537530266344,0.0,0.0,0.0,0.23094688221709006,99.76905311778292,0.0
v3a,11,734.0,50.54495912806539,51.02040816326531,50.0,172.5,0.0,0.0,0.0,50.40871934604905,0.13623978201634876,0.0,0.0,0.0,0.27548209366391185,99.72451790633609,0.0
v3a,12,728.0,47.8021978021978,50.0,51.02040816326531,600.0,0.0,0.0,0.13736263736263737,51.92307692307693,0.9615384615384616,0.0,0.0,0.2631578947368421,1.8421052631578945,97.89473684210527,0.0
v3a,13,825.0,47.63636363636364,50.526315789473685,50.0,600.0,0.0,0.0,0.0,53.090909090909086,0.0,0.0,0.0,0.0,0.0,100.0,0.0
v3c,1,667.0,48.57571214392804,62.244897959183675,29.591836734693878,600.0,19.940029985007495,27.160493827160494,9.745127436281859,9.745127436281859,29.38530734632684,1.3493253373313343,0.0,17.20116618075802,51.02040816326531,16.3265306122449,2.3323615160349855
v3c2,1,751.0,51.93075898801598,56.12244897959183,35.714285714285715,420.0,16.11185086551265,21.025641025641026,18.10918774966711,5.9920106524633825,20.505992010652463,3.3288948069241013,0.0,35.18005540166205,35.45706371191136,11.634349030470915,6.9252077562326875
