seq	wall	pid	ep	final_branch	reason	is_clean	gsucc	ret	steps
1116	1783844847.346978	2235	3	bridge	max_steps	0	0	-6.6998	600
1117	1783844852.147615	2151	4	bridge	max_steps	0	0	-6.8323	600
1118	1783844855.681946	2277	3	bridge	max_steps	0	0	-6.6942	600
1119	1783844895.787778	2361	5	bridge	max_steps	0	0	-5.4901	600
1120	1783844904.101981	2001	4	bridge	max_steps	0	0	-6.8608	600
1121	1783844905.144934	1218	9	RCCA	max_steps	1	0	-2.1456	600
1122	1783844924.078132	1793	4	bridge	max_steps	0	0	-6.8479	600
1123	1783844951.596540	1793	5	RCCA	success	1	1	4.8692	67
1124	1783844963.224090	616	11	bridge	max_steps	0	0	-5.8723	600
1125	1783844967.092355	1751	4	bridge	max_steps	0	0	-5.6433	600
1126	1783845002.267478	2319	4	bridge	max_steps	0	0	-5.4408	600
1127	1783845003.988569	236	10	bridge	max_steps	0	0	-3.5005	600
1128	1783845008.339904	2108	5	bridge	max_steps	0	0	-3.1359	600
1129	1783845025.004886	2066	4	bridge	max_steps	0	0	-6.8207	600
1130	1783845026.361334	2193	4	bridge	max_steps	0	0	-6.8296	600
1131	1783845034.343934	2151	5	bridge	max_steps	0	0	-6.7455	600
1132	1783845041.880242	1427	11	RCCA	max_steps	1	0	-1.6765	600
1133	1783845066.059999	2277	4	bridge	max_steps	0	0	-5.4475	600
1134	1783845087.982758	2235	4	RCCA	max_steps	1	0	-3.2506	600
1135	1783845141.492382	2001	5	RCCA	max_steps	1	0	-2.7796	600
1136	1783845175.221822	1218	10	RVA	max_steps	0	0	-10.1718	600
1137	1783845186.751163	1751	5	RCCA	max_steps	1	0	-2.9580	600
1138	1783845210.281653	2193	5	bridge	max_steps	0	0	-5.8487	600
1139	1783845212.305591	236	11	bridge	max_steps	0	0	-4.4060	600
1140	1783845214.955150	2319	5	RVA	max_steps	0	0	-9.9376	600
1141	1783845215.817698	2066	5	bridge	max_steps	0	0	-5.5697	600
1142	1783845233.391217	2108	6	RVA	max_steps	0	0	-2.2304	600
1143	1783845276.614908	2277	5	RCCA	max_steps	1	0	-1.4560	600
1144	1783845279.029043	2235	5	RCCA	max_steps	1	0	-2.1833	600
1145	1783845314.163324	1218	11	bridge	max_steps	0	0	-5.7456	600
1146	1783845347.207934	2066	6	RCCA	max_steps	1	0	-2.1713	600
1147	1783845416.584933	2001	9	RVA	max_steps	0	0	-6.4932	600
1148	1783845416.584933	1661	25	other	max_steps	0	0	-21.0342	600
1149	1783845416.584933	1751	20	RCCA	success	1	1	4.6550	93
1150	1783845416.584933	236	65	RCCA	max_steps	1	0	-2.4580	600
1151	1783845416.584933	1427	30	RVA	max_steps	0	0	-6.2685	600
1152	1783845416.584933	1218	45	trunk	max_steps	0	0	-10.0479	600
1153	1783845416.584933	1793	18	other	max_steps	0	0	-16.7600	600
1154	1783845416.584933	616	62	RCCA	max_steps	1	0	-4.6606	600
1155	1783845614.606557	2277	1	RCCA	success	1	1	4.7471	221
1156	1783845658.643746	2066	1	RCCA	success	1	1	4.6682	317
1157	1783845774.803781	2193	1	RCCA	max_steps	1	0	-3.3166	600
1158	1783845780.207000	616	63	bridge	max_steps	0	0	-5.3683	600
1159	1783845791.168631	2319	1	bridge	max_steps	0	0	-2.9019	600
1160	1783845808.211494	236	66	RCCA	max_steps	1	0	-1.8294	600
1161	1783845808.310696	1661	26	RCCA	max_steps	1	0	-1.3229	600
1162	1783845811.503992	1793	19	bridge	max_steps	0	0	-3.0636	600
1163	1783845812.121271	2361	1	bridge	max_steps	0	0	-3.0493	600
1164	1783845825.139382	1218	46	RCCA	max_steps	0	0	-5.3283	600
1165	1783845827.908069	1427	31	RCCA	max_steps	1	0	-4.9814	600
1166	1783845831.004122	1751	21	RCCA	max_steps	1	0	-1.9753	600
1167	1783845831.424893	2108	1	RVA	max_steps	0	0	-11.7871	600
1168	1783845856.365437	2361	2	RCCA	success	1	1	4.4690	94
1169	1783845857.310879	2001	10	RCCA	max_steps	1	0	-0.8416	600
1170	1783845860.735631	2235	1	RVA	max_steps	0	0	-11.2085	600
1171	1783845875.684957	2319	2	RCCA	success	1	1	4.9918	173
1172	1783845903.219172	1427	32	RCCA	success	1	1	4.5195	167
1173	1783845936.232740	2151	1	RCCA	max_steps	1	0	-2.1670	600
1174	1783845955.441690	2066	2	bridge	max_steps	0	0	-2.3878	600
1175	1783845975.294183	1427	33	RCCA	success	1	1	4.5681	157
1176	1783845984.752890	1793	20	RCCA	success	1	1	0.3565	335
1177	1783846032.815083	2193	2	bridge	max_steps	0	0	-2.8443	600
1178	1783846041.742636	2001	11	RCCA	success	1	1	4.5156	313
1179	1783846073.742821	2193	3	RCCA	success	1	1	4.8239	93
1180	1783846076.893468	1793	21	RCCA	success	1	1	4.5773	119
1181	1783846111.583081	2108	2	RCCA	max_steps	1	0	-3.0746	600
1182	1783846112.725318	616	64	RVA	max_steps	0	0	-13.9798	600
