name,success,cl_lead_final,cl_lead_max,cl_lead_frac50,cl_lead_frac0,cl_lead_frac10,cl_lead_frac20,cl_lead_at50,cl_lead_at90,cl_adv_led10,cl_adv_led20,cl_cath_led_success,coilf_coil,coilf_coil_gw,coilf_coil_cath,coilf_coil_loose,coilf_loop_proxy,coilf_coil_final,coilf_stored_max_mm,coilf_near_target_buckle,coilf_has_cath_slack,coilr_loop_any_gw,coilr_loop_any_cath,coilr_loop_steps,coilr_first_loop_step,coilr_slack_at_first_loop,coilr_cath_slack_at_first_loop,coilr_n_loops_max,coilr_closure_min_gw,coilr_closure_min_cath,coilr_turn_excess_max_deg,coilr_path_closure_mm,coilr_near_target_buckle,coilr_near_target_loop_frac,coilr_slack_max,coilr_cath_slack_max
abl_best_host,False,4.906,152.235,0.425,,,,,,,,0.0,1.0,0.25,1.0,1.0,1.0,0.25,327.309,0.5,1.0,1.0,1.0,449.75,119.25,30.106,-3.909,8.0,0.136,0.043,861.02,16.654,75.5,0.879,224.937,230.782
abl_best_host,True,-34.022,17.426,0.009,,,,,,,,0.012,0.037,0.0,0.037,0.049,0.049,0.0,16.429,0.0,1.0,0.062,0.049,4.877,7.543,35.0,3.301,0.123,19.715,20.16,56.022,20.599,5.506,0.466,6.289,15.177
car_best_host,False,0.919,39.899,0.064,,,,,,,,0.0,0.0,0.0,0.0,0.056,0.0,0.0,11.291,0.056,1.0,0.0,0.0,0.0,-1.0,,,0.0,18.918,21.117,832.115,19.103,0.0,,2.4,11.291
car_best_host,True,-25.591,29.877,0.001,,,,,,,,0.104,0.0,0.0,0.0,0.0,0.0,0.0,10.498,0.0,1.0,0.004,0.0,0.02,-0.048,21.105,-14.153,0.004,20.698,21.937,795.25,20.599,0.028,0.714,0.954,10.44
tbv2_best_host,False,147.834,171.434,0.188,,,,,,,,0.0,0.676,0.117,0.667,0.946,0.676,0.081,184.469,0.171,1.0,0.649,0.55,137.865,188.757,21.766,37.393,3.982,3.825,5.512,351.55,20.185,31.099,0.559,56.104,183.344
tbv2_best_host,True,-16.575,21.556,0.029,,,,,,,,0.09,0.125,0.007,0.125,0.201,0.16,0.0,38.516,0.0,1.0,0.417,0.146,25.715,72.229,18.724,10.832,0.681,11.437,16.213,144.907,20.589,10.743,0.371,24.247,32.064
tbv3_ref_host,False,-228.014,83.546,0.147,,,,,,,,0.0,1.0,0.5,0.5,1.0,1.0,0.5,295.299,0.667,1.0,0.833,0.667,339.5,196.333,33.301,17.252,14.5,2.383,5.715,1196.248,19.322,97.5,0.603,259.701,89.228
tbv3_ref_host,True,-36.807,10.023,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.013,0.013,0.0,15.05,0.0,1.0,0.025,0.0,1.962,4.962,37.135,-4.362,0.038,19.864,21.495,42.201,20.496,4.494,0.288,9.513,13.389
