name,reps,episodes,seeds,succ,clean,recovery,fight_won,f_coil,f_buckle,f_thrash,f_shove,med_steps,lead_end_med,lead_frac50,cathled_succ,rec_share_of_succ,rec_tipretreat_share,tipretreat_med_rec,coil_share_of_fail,buckle_share_of_fail,thrash_share_of_fail,fail_pmax_med,fail_midpath_share,fail_loop_share,loop_any,loop_escaped
abl_best_host,1,85,85,0.953,0.706,0.2,0.047,0.012,0.035,0.0,0.0,73.0,-34.832,0.029,0.012,0.21,0.381,7.991,0.25,0.75,0.0,0.949,0.0,1.0,0.106,0.556
car_best_host,3,268,98,0.933,0.164,0.354,0.414,0.0,0.004,0.0,0.063,186.0,-28.054,0.005,0.104,0.38,0.956,16.001,0.0,0.056,0.0,0.906,0.0,0.0,0.004,1.0
tbv2_best_host,3,255,85,0.565,0.239,0.129,0.196,0.051,0.337,0.02,0.027,389.0,-6.45,0.098,0.042,0.229,0.904,30.033,0.117,0.775,0.045,0.751,0.306,0.694,0.541,0.442
tbv3_ref_host,1,85,85,0.929,0.612,0.235,0.082,0.012,0.035,0.012,0.0,74.0,-15.53,0.01,0.0,0.253,0.536,10.45,0.167,0.5,0.167,0.935,0.167,1.0,0.094,0.25
