name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
tbv2_best_host,1,900001,s1563758547g0,601,shove-capped,8:mega-coil,0.365,0.541,115,6,0.855,178.052,87.032,2,1,-40.277,99.439,88.906,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/checkpoints/eval_anatomies_best_checkpoint/traj_records/20260921_002122\s900001_s1563758547g0_pid71_ep5.npz
tbv2_best_host,1,900003,s362260794g0,601,shove-capped,5:shove-fight,0.545,0.979,43,461,0.902,296.116,141.185,1,1,656.958,585.151,42.248,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/checkpoints/eval_anatomies_best_checkpoint/traj_records/20260921_002122\s900003_s362260794g0_pid71_ep3.npz
tbv2_best_host,3,900003,s362260794g0,601,shove-capped,6:near-buckle-fight,0.586,0.979,77,199,0.913,238.597,140.174,2,1,688.562,605.241,40.685,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/checkpoints/eval_anatomies_best_checkpoint/traj_records/20260921_045437\s900003_s362260794g0_pid71_ep3.npz
tbv2_best_host,1,900004,s1186725438g0,601,shove-capped,6:near-buckle-fight,0.841,0.86,41,229,0.847,128.559,132.107,1,1,134.826,121.953,29.038,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/checkpoints/eval_anatomies_best_checkpoint/traj_records/20260921_002122\s900004_s1186725438g0_pid71_ep2.npz
tbv2_best_host,3,900006,s2131103049g0,601,shove-capped,8:mega-coil,0.633,0.934,42,341,0.87,403.069,70.037,1,1,126.779,339.082,227.655,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/checkpoints/eval_anatomies_best_checkpoint/traj_records/20260921_045437\s900006_s2131103049g0_pid71_ep0.npz
tbv2_best_host,3,900007,s1875621913g0,601,coiled-stuck,6:near-buckle-fight,0.832,0.85,42,117,0.9,119.479,38.031,1,1,22.373,55.825,31.232,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/checkpoints/eval_anatomies_best_checkpoint/traj_records/20260921_045437\s900007_s1875621913g0_pid123_ep5.npz
car_best_host,3,900009,s262217262g0,601,doorstep-stall,5:shove-fight,0.87,0.918,276,2,0.982,911.69,64.737,5,1,-37.162,8.494,1.118,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_233257\s900009_s262217262g0_pid123_ep4.npz
tbv2_best_host,1,900009,s262217262g0,601,stuck-midpath,6:near-buckle-fight,0.627,0.663,108,4,0.91,171.651,23.042,2,1,24.468,36.528,46.053,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/checkpoints/eval_anatomies_best_checkpoint/traj_records/20260921_002122\s900009_s262217262g0_pid123_ep4.npz
tbv2_best_host,2,900009,s262217262g0,601,stuck-midpath,6:near-buckle-fight,0.649,0.663,47,112,0.95,136.573,28.033,1,1,11.075,49.429,28.993,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/checkpoints/eval_anatomies_best_checkpoint/traj_records/20260921_012209\s900009_s262217262g0_pid123_ep4.npz
tbv2_best_host,1,900010,s733528875g0,601,shove-capped,8:mega-coil,0.526,0.537,42,119,0.829,180.815,141.185,1,1,373.372,410.016,101.891,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/checkpoints/eval_anatomies_best_checkpoint/traj_records/20260921_002122\s900010_s733528875g0_pid123_ep3.npz
