seed,n,p,clean,rec,min_strong,max_strong,spread_strong,min_weak,cls
900000,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900001,8,0.875,0.25,0.625,1.0,1.0,0.0,0.6666666666666666,strength
900002,8,1.0,0.75,0.0,1.0,1.0,0.0,1.0,easy
900003,8,0.75,0.375,0.125,1.0,1.0,0.0,0.3333333333333333,strength
900004,8,0.875,0.5,0.0,1.0,1.0,0.0,0.6666666666666666,strength
900005,8,1.0,0.5,0.0,1.0,1.0,0.0,1.0,easy
900006,8,0.875,0.375,0.0,1.0,1.0,0.0,0.6666666666666666,strength
900007,8,0.875,0.375,0.25,1.0,1.0,0.0,0.6666666666666666,strength
900008,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900009,8,0.625,0.25,0.125,0.6666666666666666,1.0,0.33333333333333337,0.3333333333333333,frontier
900010,8,0.75,0.0,0.625,1.0,1.0,0.0,0.3333333333333333,strength
900011,1,1.0,0.0,1.0,1.0,1.0,0.0,,strength
900012,8,0.75,0.125,0.375,0.6666666666666666,1.0,0.33333333333333337,0.6666666666666666,frontier
900013,8,1.0,0.125,0.5,1.0,1.0,0.0,1.0,easy
900014,8,0.75,0.375,0.375,1.0,1.0,0.0,0.3333333333333333,strength
900015,8,1.0,0.0,0.375,1.0,1.0,0.0,1.0,easy
900016,8,0.625,0.125,0.5,1.0,1.0,0.0,0.0,strength
900017,8,0.75,0.5,0.0,1.0,1.0,0.0,0.3333333333333333,strength
900018,8,0.625,0.375,0.0,0.0,1.0,1.0,0.3333333333333333,frontier
900019,8,0.875,0.25,0.5,0.0,1.0,1.0,1.0,frontier
900020,8,0.75,0.375,0.125,1.0,1.0,0.0,0.3333333333333333,strength
900021,8,0.75,0.25,0.5,1.0,1.0,0.0,0.3333333333333333,strength
900022,8,0.875,0.125,0.125,1.0,1.0,0.0,0.6666666666666666,strength
900023,8,0.75,0.25,0.375,1.0,1.0,0.0,0.3333333333333333,strength
900024,8,0.875,0.25,0.5,1.0,1.0,0.0,0.6666666666666666,strength
900025,8,1.0,0.625,0.0,1.0,1.0,0.0,1.0,easy
900026,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900027,8,0.875,0.5,0.125,1.0,1.0,0.0,0.6666666666666666,strength
900028,8,0.875,0.5,0.375,1.0,1.0,0.0,0.6666666666666666,strength
900029,8,0.375,0.0,0.25,0.0,1.0,1.0,0.0,frontier
900030,8,0.75,0.0,0.5,0.0,1.0,1.0,0.6666666666666666,frontier
900031,8,1.0,0.125,0.375,1.0,1.0,0.0,1.0,easy
900032,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900033,8,1.0,0.5,0.375,1.0,1.0,0.0,1.0,easy
900034,8,0.875,0.375,0.0,1.0,1.0,0.0,0.6666666666666666,strength
900035,8,0.625,0.0,0.375,0.6666666666666666,1.0,0.33333333333333337,0.3333333333333333,frontier
900036,8,0.875,0.375,0.0,1.0,1.0,0.0,0.6666666666666666,strength
900037,8,0.75,0.0,0.5,1.0,1.0,0.0,0.3333333333333333,strength
900038,8,1.0,0.625,0.0,1.0,1.0,0.0,1.0,easy
900039,8,0.625,0.375,0.25,0.6666666666666666,1.0,0.33333333333333337,0.3333333333333333,frontier
900040,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900041,8,1.0,0.625,0.25,1.0,1.0,0.0,1.0,easy
900042,8,0.625,0.25,0.25,0.0,1.0,1.0,0.3333333333333333,frontier
900043,8,0.625,0.25,0.0,0.0,1.0,1.0,0.3333333333333333,frontier
900044,8,1.0,0.625,0.125,1.0,1.0,0.0,1.0,easy
900045,8,0.625,0.25,0.0,1.0,1.0,0.0,0.0,strength
900046,8,0.875,0.5,0.0,1.0,1.0,0.0,0.6666666666666666,strength
900047,8,0.625,0.125,0.375,1.0,1.0,0.0,0.0,strength
900048,8,0.625,0.125,0.375,0.0,1.0,1.0,0.6666666666666666,frontier
900049,8,0.875,0.375,0.125,1.0,1.0,0.0,0.6666666666666666,strength
900050,8,0.875,0.375,0.25,1.0,1.0,0.0,0.6666666666666666,strength
900051,8,0.75,0.125,0.375,1.0,1.0,0.0,0.3333333333333333,strength
900052,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900053,8,0.625,0.25,0.125,0.6666666666666666,1.0,0.33333333333333337,0.3333333333333333,frontier
900054,8,0.625,0.125,0.0,1.0,1.0,0.0,0.0,strength
900055,8,1.0,0.625,0.25,1.0,1.0,0.0,1.0,easy
900056,8,0.75,0.5,0.0,1.0,1.0,0.0,0.3333333333333333,strength
900057,8,0.75,0.125,0.375,1.0,1.0,0.0,0.3333333333333333,strength
900058,8,1.0,0.625,0.0,1.0,1.0,0.0,1.0,easy
900059,8,0.625,0.5,0.0,1.0,1.0,0.0,0.0,strength
900060,8,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900061,8,0.625,0.375,0.0,0.6666666666666666,1.0,0.33333333333333337,0.3333333333333333,frontier
900062,8,0.75,0.0,0.25,1.0,1.0,0.0,0.3333333333333333,strength
900063,8,0.875,0.25,0.25,1.0,1.0,0.0,0.6666666666666666,strength
900064,8,0.875,0.375,0.125,1.0,1.0,0.0,0.6666666666666666,strength
900065,8,1.0,0.375,0.25,1.0,1.0,0.0,1.0,easy
900066,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900067,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900068,8,0.625,0.375,0.0,0.6666666666666666,1.0,0.33333333333333337,0.3333333333333333,frontier
900069,8,0.625,0.0,0.5,0.3333333333333333,1.0,0.6666666666666667,0.6666666666666666,frontier
900070,8,1.0,0.125,0.75,1.0,1.0,0.0,1.0,easy
900071,8,0.875,0.25,0.25,1.0,1.0,0.0,0.6666666666666666,strength
900072,8,1.0,0.375,0.625,1.0,1.0,0.0,1.0,easy
900073,8,0.875,0.625,0.125,1.0,1.0,0.0,0.6666666666666666,strength
900074,8,0.5,0.25,0.125,0.6666666666666666,1.0,0.33333333333333337,0.0,frontier
900075,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900076,8,0.5,0.125,0.25,0.6666666666666666,1.0,0.33333333333333337,0.0,frontier
900077,8,0.625,0.125,0.125,0.3333333333333333,1.0,0.6666666666666667,0.6666666666666666,frontier
900078,8,1.0,0.5,0.125,1.0,1.0,0.0,1.0,easy
900079,8,0.75,0.375,0.25,1.0,1.0,0.0,0.3333333333333333,strength
900080,8,0.625,0.125,0.5,1.0,1.0,0.0,0.0,strength
900081,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900082,8,0.75,0.5,0.0,1.0,1.0,0.0,0.3333333333333333,strength
900083,8,1.0,0.375,0.25,1.0,1.0,0.0,1.0,easy
900084,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900085,8,0.875,0.25,0.5,1.0,1.0,0.0,0.6666666666666666,strength
900086,8,0.875,0.25,0.25,1.0,1.0,0.0,0.6666666666666666,strength
900087,8,0.625,0.125,0.25,0.0,1.0,1.0,0.3333333333333333,frontier
900088,8,0.75,0.25,0.375,1.0,1.0,0.0,0.3333333333333333,strength
900089,8,0.75,0.125,0.25,0.6666666666666666,1.0,0.33333333333333337,0.6666666666666666,frontier
900090,8,0.75,0.375,0.375,0.3333333333333333,1.0,0.6666666666666667,1.0,frontier
900091,8,0.75,0.375,0.25,1.0,1.0,0.0,0.3333333333333333,strength
900092,8,0.75,0.125,0.375,1.0,1.0,0.0,0.3333333333333333,strength
900093,8,0.875,0.125,0.125,1.0,1.0,0.0,0.6666666666666666,strength
900094,8,0.625,0.0,0.5,0.6666666666666666,1.0,0.33333333333333337,0.3333333333333333,frontier
900095,1,1.0,1.0,0.0,1.0,1.0,0.0,,strength
900096,8,0.875,0.125,0.375,0.0,1.0,1.0,1.0,frontier
900097,8,0.75,0.125,0.125,1.0,1.0,0.0,0.3333333333333333,strength
