a,b,seeds,mean_a,mean_b,mean_diff,seeds_a_better,seeds_b_better,sign_p,wilcoxon_p,a_better,b_better
car_best_host,tbv2_best_host,85,0.929,0.565,0.365,59,3,0.0,0.0,"[900001, 900003, 900004, 900006, 900007, 900009, 900010, 900014, 900016, 900017, 900018, 900020, 900021, 900022, 900023, 900024, 900027, 900028, 900029, 900030, 900034, 900035, 900036, 900037, 900039, 900042, 900043, 900045, 900046, 900047, 900049, 900050, 900051, 900053, 900054, 900056, 900057, 900059, 900061, 900062, 900063, 900064, 900068, 900071, 900073, 900074, 900076, 900079, 900080, 900082, 900085, 900086, 900087, 900088, 900091, 900092, 900093, 900094, 900097]","[900069, 900077, 900090]"
car_best_host,tbv3_ref_host,85,0.929,0.929,-0.0,6,15,0.0784,0.8726,"[900018, 900029, 900030, 900042, 900043, 900087]","[900009, 900012, 900035, 900039, 900048, 900053, 900061, 900068, 900069, 900074, 900076, 900077, 900089, 900090, 900094]"
car_best_host,abl_best_host,85,0.929,0.953,-0.024,4,14,0.0309,0.3137,"[900019, 900029, 900048, 900096]","[900009, 900012, 900035, 900039, 900053, 900061, 900068, 900069, 900074, 900076, 900077, 900089, 900090, 900094]"
abl_best_host,tbv2_best_host,85,0.953,0.565,0.388,62,3,0.0,0.0,"[900001, 900003, 900004, 900006, 900007, 900009, 900010, 900012, 900014, 900016, 900017, 900018, 900020, 900021, 900022, 900023, 900024, 900027, 900028, 900030, 900034, 900035, 900036, 900037, 900039, 900042, 900043, 900045, 900046, 900047, 900049, 900050, 900051, 900053, 900054, 900056, 900057, 900059, 900061, 900062, 900063, 900064, 900068, 900069, 900071, 900073, 900074, 900076, 900077, 900079, 900080, 900082, 900085, 900086, 900087, 900088, 900089, 900091, 900092, 900093, 900094, 900097]","[900019, 900048, 900096]"
tbv3_ref_host,tbv2_best_host,85,0.929,0.565,0.365,58,5,0.0,0.0,"[900001, 900003, 900004, 900006, 900007, 900009, 900010, 900012, 900014, 900016, 900017, 900020, 900021, 900022, 900023, 900024, 900027, 900028, 900034, 900035, 900036, 900037, 900039, 900045, 900046, 900047, 900048, 900049, 900050, 900051, 900053, 900054, 900056, 900057, 900059, 900061, 900062, 900063, 900064, 900068, 900069, 900071, 900073, 900074, 900076, 900077, 900079, 900080, 900082, 900085, 900086, 900088, 900089, 900091, 900092, 900093, 900094, 900097]","[900018, 900030, 900042, 900043, 900087]"
abl_best_host,tbv3_ref_host,85,0.953,0.929,0.024,5,3,0.7266,0.7266,"[900018, 900030, 900042, 900043, 900087]","[900019, 900048, 900096]"
