name,reps,episodes,seeds,succ,clean,recovery,fight_won,f_coil,f_buckle,f_thrash,f_shove,med_steps,lead_end_med,lead_frac50,cathled_succ,rec_share_of_succ,rec_tipretreat_share,tipretreat_med_rec,coil_share_of_fail,buckle_share_of_fail,thrash_share_of_fail,fail_pmax_med,fail_midpath_share,fail_loop_share,loop_any,loop_escaped
car_best,4,188,47,0.973,0.75,0.186,0.037,0.0,0.027,0.0,0.0,71.0,-18.253,0.004,0.191,0.191,0.659,10.979,0.0,1.0,0.0,0.937,0.0,0.0,0.021,1.0
proc_on_carotid,1,47,47,0.426,0.404,0.021,0.0,0.0,0.0,0.511,0.064,601.0,29.491,0.206,1.0,0.05,0.5,7.019,0.0,0.0,0.889,0.204,1.0,0.037,0.043,0.5
