seed,name,n,p,p_rec,dom,mesh
139,car_best,4,1.0,1.0,4:deep-recovery-success,casew013righttopcowmr021L
139,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew013righttopcowmr021L
140,car_best,4,1.0,0.0,0:clean-success,casew025righttopcowmr021L
140,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew025righttopcowmr021L
148,car_best,4,1.0,0.5,0:clean-success,casew025righttopcowmr016L
148,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew025righttopcowmr016L
154,car_best,4,1.0,0.25,0:clean-success,casew007lefttopcowmr021L
154,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew007lefttopcowmr021L
155,car_best,4,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr017
155,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr017
161,car_best,4,1.0,0.0,0:clean-success,casem030righttopcowmr016
161,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casem030righttopcowmr016
162,car_best,4,1.0,0.0,0:clean-success,casem030righttopcowmr013L
162,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casem030righttopcowmr013L
167,car_best,4,1.0,0.75,4:deep-recovery-success,casem030righttopcowmr013L
167,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casem030righttopcowmr013L
171,car_best,4,1.0,0.25,0:clean-success,casem030righttopcowmr016L
171,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casem030righttopcowmr016L
