name,cath-led-run,coiled-stuck,deep-recovery,doorstep-stall,fight-escaped-far,idle-creep,light-recovery,shove-capped,stuck-midpath,stuck-proximal
car_best_on_proc,0,8,0,1,0,0,0,8,23,1
proc_on_proc,2,35,1,0,1,3,3,2,1,1
