seed,car_best_on_proc,proc_on_proc,succ_phase,fail_phase,rec_share,cathled_share,medT,mesh,cls,min_strong,spread_strong
900042,0.0,0.0,,stuck-midpath,,,601.0,s928082491g1,floor,0.0,0.0
900046,0.0,0.0,,stuck-midpath,,,601.0,s791572010g1,floor,0.0,0.0
900047,0.0,0.0,,coiled-stuck,,,601.0,s195812797g1,floor,0.0,0.0
900048,0.0,0.0,,stuck-proximal,,,601.0,s1268534349g1,floor,0.0,0.0
900049,0.0,0.0,,coiled-stuck,,,601.0,s710276575g0,floor,0.0,0.0
900051,0.0,0.0,,shove-capped,,,601.0,s1703362320g1,floor,0.0,0.0
900062,0.0,0.0,,coiled-stuck,,,601.0,s950258454g1,floor,0.0,0.0
900063,0.0,0.0,,shove-capped,,,601.0,s2032161815g1,floor,0.0,0.0
900065,0.0,0.0,,stuck-midpath,,,601.0,s542976952g1,floor,0.0,0.0
900070,0.0,0.0,,stuck-midpath,,,601.0,s401951954g1,floor,0.0,0.0
900071,0.0,0.0,,shove-capped,,,601.0,s381803629g1,floor,0.0,0.0
900072,0.0,0.0,,stuck-midpath,,,601.0,s441416739g1,floor,0.0,0.0
900073,0.0,0.0,,shove-capped,,,601.0,s1771697106g0,floor,0.0,0.0
900076,0.0,0.0,,stuck-midpath,,,601.0,s160821144g1,floor,0.0,0.0
900079,0.0,0.0,,shove-capped,,,601.0,s1678765422g0,floor,0.0,0.0
900080,0.0,0.0,,coiled-stuck,,,601.0,s1574836522g1,floor,0.0,0.0
900083,0.0,0.0,,coiled-stuck,,,601.0,s164799107g1,floor,0.0,0.0
900087,0.0,0.0,,stuck-midpath,,,601.0,s1020378381g1,floor,0.0,0.0
900089,0.0,0.0,,stuck-midpath,,,601.0,s501147810g1,floor,0.0,0.0
900090,0.0,0.0,,stuck-midpath,,,601.0,s1284136373g1,floor,0.0,0.0
900092,0.0,0.0,,shove-capped,,,601.0,s639028767g1,floor,0.0,0.0
900094,0.0,0.0,,shove-capped,,,601.0,s1097265140g1,floor,0.0,0.0
900096,0.0,0.0,,stuck-midpath,,,601.0,s310660349g1,floor,0.0,0.0
900097,0.0,0.0,,doorstep-stall,,,601.0,s1408628064g0,floor,0.0,0.0
900023,1.0,0.0,free-run,coiled-stuck,0.0,0.0,351.5,s1807589001g1,frontier,0.0,1.0
900031,1.0,0.0,free-run,coiled-stuck,0.0,0.0,333.0,s47544376g0,frontier,0.0,1.0
900039,1.0,0.0,light-recovery,coiled-stuck,1.0,0.0,362.0,s202265828g1,frontier,0.0,1.0
900043,1.0,0.0,deep-recovery,stuck-midpath,1.0,0.0,510.0,s1898654069g0,frontier,0.0,1.0
900045,1.0,0.0,light-recovery,coiled-stuck,1.0,0.0,362.5,s1009872855g1,frontier,0.0,1.0
900064,1.0,0.0,cath-led-run,deep-recovery,0.0,1.0,330.5,s1795658739g1,frontier,0.0,1.0
900069,1.0,0.0,deep-recovery,coiled-stuck,1.0,0.0,410.0,s19148103g1,frontier,0.0,1.0
900086,1.0,0.0,cath-led-run,stuck-proximal,0.0,1.0,372.0,s2035662364g1,frontier,0.0,1.0
