name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
car_best_on_proc,1,900020,s8844972g1,601,stuck-midpath,7:midpath-thrash,0.244,0.599,81,6,0.95,173.917,123.637,1,1,32.278,24.683,21.641,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900020_s8844972g1_pid206_ep5.npz
proc_on_proc,1,900020,s8844972g1,601,cath-led-run,10:proximal-thrash,0.209,0.226,80,548,0.057,5.001,9.006,0,0,0.211,4.851,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900020_s8844972g1_pid206_ep5.npz
car_best_on_proc,1,900021,s1905292856g1,601,coiled-stuck,8:mega-coil,0.542,0.561,105,368,0.932,90.596,17.971,1,1,-344.204,11.195,198.15,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900021_s1905292856g1_pid206_ep4.npz
proc_on_proc,1,900021,s1905292856g1,601,light-recovery,10:proximal-thrash,0.249,0.249,600,553,0.108,0.925,1.009,2,0,-20.47,5.265,0.022,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900021_s1905292856g1_pid206_ep4.npz
proc_on_proc,1,900023,s1807589001g1,601,coiled-stuck,8:mega-coil,0.773,0.954,386,145,0.902,100.779,27.226,6,1,0.065,729.874,730.209,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900023_s1807589001g1_pid206_ep2.npz
car_best_on_proc,1,900024,s1347551054g1,601,stuck-midpath,6:near-buckle-fight,0.717,0.717,552,384,0.948,71.952,5.129,1,1,-48.554,26.83,27.239,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900024_s1347551054g1_pid206_ep1.npz
proc_on_proc,1,900024,s1347551054g1,601,coiled-stuck,8:mega-coil,0.705,0.717,222,327,0.973,4.572,5.129,1,1,-1.115,740.916,741.082,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900024_s1347551054g1_pid206_ep1.npz
car_best_on_proc,1,900027,s54421594g1,601,coiled-stuck,6:near-buckle-fight,0.623,0.781,49,30,0.86,313.257,66.625,1,1,-26.798,55.2,50.32,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900027_s54421594g1_pid247_ep4.npz
proc_on_proc,1,900027,s54421594g1,601,coiled-stuck,8:mega-coil,0.638,0.781,155,293,0.97,85.755,34.969,1,1,-0.18,781.624,781.868,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900027_s54421594g1_pid247_ep4.npz
car_best_on_proc,1,900028,s1817049148g1,601,stuck-midpath,6:near-buckle-fight,0.716,0.716,81,330,0.928,100.48,32.359,1,1,-57.07,35.587,35.255,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900028_s1817049148g1_pid247_ep3.npz
proc_on_proc,1,900028,s1817049148g1,601,coiled-stuck,8:mega-coil,0.495,0.716,332,485,0.915,119.911,54.396,2,1,1.795,794.03,793.848,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900028_s1817049148g1_pid247_ep3.npz
car_best_on_proc,1,900029,s779366404g1,601,stuck-midpath,6:near-buckle-fight,0.627,0.627,600,537,0.907,68.768,2.206,1,1,-91.421,21.104,26.038,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900029_s779366404g1_pid247_ep2.npz
proc_on_proc,1,900029,s779366404g1,601,light-recovery,7:midpath-thrash,0.264,0.264,600,76,0.093,3.906,2.023,1,0,-19.417,5.106,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900029_s779366404g1_pid247_ep2.npz
car_best_on_proc,1,900030,s487386244g1,601,stuck-midpath,6:near-buckle-fight,0.601,0.601,106,213,0.872,79.32,9.497,1,1,-71.19,21.554,30.882,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900030_s487386244g1_pid247_ep1.npz
proc_on_proc,1,900030,s487386244g1,601,coiled-stuck,8:mega-coil,0.565,0.601,234,36,0.877,99.159,30.586,2,1,15.007,756.802,748.961,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900030_s487386244g1_pid247_ep1.npz
