name,success,cl_lead_final,cl_lead_max,cl_lead_frac50,cl_lead_frac0,cl_lead_frac10,cl_lead_frac20,cl_lead_at50,cl_lead_at90,cl_adv_led10,cl_adv_led20,cl_cath_led_success,coilf_coil,coilf_coil_gw,coilf_coil_cath,coilf_coil_loose,coilf_loop_proxy,coilf_coil_final,coilf_stored_max_mm,coilf_near_target_buckle,coilf_has_cath_slack,coilr_loop_any_gw,coilr_loop_any_cath,coilr_loop_steps,coilr_first_loop_step,coilr_slack_at_first_loop,coilr_cath_slack_at_first_loop,coilr_n_loops_max,coilr_closure_min_gw,coilr_closure_min_cath,coilr_turn_excess_max_deg,coilr_path_closure_mm,coilr_near_target_buckle,coilr_near_target_loop_frac,coilr_slack_max,coilr_cath_slack_max
car_best_on_proc,False,3.845,77.709,0.123,,,,,,,,0.0,0.366,0.171,0.341,0.683,0.366,0.146,157.815,0.341,1.0,0.439,0.439,119.927,63.902,38.093,41.948,3.073,6.006,7.201,870.029,19.288,52.195,0.633,130.599,150.608
car_best_on_proc,True,2.69,31.896,0.007,,,,,,,,0.404,0.123,0.053,0.123,0.123,0.123,0.053,34.864,0.0,1.0,0.123,0.123,8.947,14.246,47.238,51.197,0.404,19.572,18.753,806.506,21.686,9.088,0.439,25.499,33.212
proc_on_proc,False,0.622,52.442,0.032,,,,,,,,0.0,0.755,0.755,0.755,0.796,0.755,0.755,576.798,0.49,1.0,0.755,0.755,390.51,62.612,11.201,51.247,10.51,5.382,5.021,1439.722,19.485,42.878,0.978,573.32,576.008
proc_on_proc,True,47.428,56.251,0.315,,,,,,,,0.918,0.224,0.224,0.224,0.245,0.224,0.224,74.524,0.0,1.0,0.224,0.224,19.592,14.918,0.71,51.815,1.51,17.08,16.061,624.114,21.881,6.796,0.656,62.233,74.492
