seed,name,n,p,p_rec,dom,mesh
1,abl_best,4,1.0,0.0,1:clean-fast-success,casew007lefttopcowmr017
1,abl_copeak,1,1.0,0.0,1:clean-fast-success,casew007lefttopcowmr017
1,abl_last,2,1.0,0.0,1:clean-fast-success,casew007lefttopcowmr017
1,car_1545,1,1.0,0.0,1:clean-fast-success,casew007lefttopcowmr017
1,car_best,4,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr017
1,car_div,1,0.0,0.0,7:midpath-thrash,casew007lefttopcowmr017
1,car_early,1,1.0,0.0,5:shove-fight,casew007lefttopcowmr017
1,car_peak,2,1.0,0.0,1:clean-fast-success,casew007lefttopcowmr017
2,abl_best,4,1.0,0.25,0:clean-success,casew025righttopcowmr016L
2,abl_copeak,1,1.0,0.0,0:clean-success,casew025righttopcowmr016L
2,abl_last,2,0.0,0.0,8:mega-coil,casew025righttopcowmr016L
2,car_1545,1,1.0,0.0,1:clean-fast-success,casew025righttopcowmr016L
2,car_best,4,1.0,0.0,0:clean-success,casew025righttopcowmr016L
2,car_div,1,0.0,0.0,7:midpath-thrash,casew025righttopcowmr016L
2,car_early,1,0.0,0.0,8:mega-coil,casew025righttopcowmr016L
2,car_peak,2,1.0,0.5,3:light-recovery-success,casew025righttopcowmr016L
3,abl_best,4,1.0,0.75,4:deep-recovery-success,casem030righttopcowmr016
3,abl_copeak,1,1.0,0.0,1:clean-fast-success,casem030righttopcowmr016
3,abl_last,2,1.0,0.0,1:clean-fast-success,casem030righttopcowmr016
3,car_1545,1,1.0,0.0,1:clean-fast-success,casem030righttopcowmr016
3,car_best,4,1.0,0.25,0:clean-success,casem030righttopcowmr016
3,car_div,1,0.0,0.0,7:midpath-thrash,casem030righttopcowmr016
3,car_early,1,1.0,0.0,1:clean-fast-success,casem030righttopcowmr016
3,car_peak,2,1.0,1.0,3:light-recovery-success,casem030righttopcowmr016
8,abl_best,4,1.0,0.5,4:deep-recovery-success,casew013righttopcowmr013L
8,abl_copeak,1,1.0,0.0,5:shove-fight,casew013righttopcowmr013L
8,abl_last,2,0.0,0.0,6:near-buckle-fight,casew013righttopcowmr013L
8,car_1545,1,1.0,1.0,4:deep-recovery-success,casew013righttopcowmr013L
8,car_best,4,1.0,0.75,4:deep-recovery-success,casew013righttopcowmr013L
8,car_div,1,0.0,0.0,3:light-recovery-success,casew013righttopcowmr013L
8,car_early,1,0.0,0.0,5:shove-fight,casew013righttopcowmr013L
8,car_peak,2,0.5,0.5,6:near-buckle-fight,casew013righttopcowmr013L
10,abl_best,4,1.0,0.0,1:clean-fast-success,casem030righttopcowmr016
10,abl_copeak,1,1.0,0.0,1:clean-fast-success,casem030righttopcowmr016
10,abl_last,2,1.0,0.5,3:light-recovery-success,casem030righttopcowmr016
10,car_1545,1,1.0,0.0,1:clean-fast-success,casem030righttopcowmr016
10,car_best,4,1.0,0.0,0:clean-success,casem030righttopcowmr016
10,car_div,1,0.0,0.0,7:midpath-thrash,casem030righttopcowmr016
10,car_early,1,1.0,0.0,0:clean-success,casem030righttopcowmr016
10,car_peak,2,1.0,0.0,0:clean-success,casem030righttopcowmr016
16,abl_best,4,0.5,0.0,6:near-buckle-fight,casem030righttopcowmr016L
16,abl_copeak,1,1.0,0.0,1:clean-fast-success,casem030righttopcowmr016L
16,abl_last,2,1.0,0.0,1:clean-fast-success,casem030righttopcowmr016L
16,car_1545,1,1.0,0.0,1:clean-fast-success,casem030righttopcowmr016L
16,car_best,4,1.0,0.0,2:cathled-sprint-success,casem030righttopcowmr016L
16,car_div,1,1.0,1.0,3:light-recovery-success,casem030righttopcowmr016L
16,car_early,1,1.0,0.0,7:midpath-thrash,casem030righttopcowmr016L
16,car_peak,2,1.0,0.0,1:clean-fast-success,casem030righttopcowmr016L
18,abl_best,4,1.0,0.0,1:clean-fast-success,casew013righttopcowmr011
18,abl_copeak,1,1.0,0.0,1:clean-fast-success,casew013righttopcowmr011
18,abl_last,2,1.0,0.0,1:clean-fast-success,casew013righttopcowmr011
18,car_1545,1,1.0,1.0,3:light-recovery-success,casew013righttopcowmr011
18,car_best,4,1.0,0.5,2:cathled-sprint-success,casew013righttopcowmr011
18,car_div,1,1.0,0.0,7:midpath-thrash,casew013righttopcowmr011
18,car_early,1,1.0,1.0,3:light-recovery-success,casew013righttopcowmr011
18,car_peak,2,1.0,0.0,1:clean-fast-success,casew013righttopcowmr011
21,abl_best,4,1.0,0.25,6:near-buckle-fight,casew025righttopcowmr021L
21,abl_copeak,1,1.0,1.0,4:deep-recovery-success,casew025righttopcowmr021L
21,abl_last,2,1.0,0.0,0:clean-success,casew025righttopcowmr021L
21,car_1545,1,1.0,0.0,6:near-buckle-fight,casew025righttopcowmr021L
21,car_best,4,1.0,0.0,5:shove-fight,casew025righttopcowmr021L
21,car_div,1,0.0,0.0,7:midpath-thrash,casew025righttopcowmr021L
21,car_early,1,1.0,0.0,0:clean-success,casew025righttopcowmr021L
21,car_peak,2,1.0,0.0,0:clean-success,casew025righttopcowmr021L
23,abl_best,4,1.0,0.75,4:deep-recovery-success,casew013righttopcowmr013L
23,abl_copeak,1,0.0,0.0,5:shove-fight,casew013righttopcowmr013L
23,abl_last,2,0.0,0.0,7:midpath-thrash,casew013righttopcowmr013L
23,car_1545,1,1.0,1.0,4:deep-recovery-success,casew013righttopcowmr013L
23,car_best,4,0.75,0.75,4:deep-recovery-success,casew013righttopcowmr013L
23,car_div,1,0.0,0.0,7:midpath-thrash,casew013righttopcowmr013L
23,car_early,1,0.0,0.0,8:mega-coil,casew013righttopcowmr013L
