name,rep,seed,cname,success,file
car_best,1,93,0:clean-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0093_casew007lefttopcowmr017_pid247_ep1.npz
car_best,1,108,2:cathled-sprint-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0108_casew007lefttopcowmr017_pid206_ep0.npz
car_best,1,115,5:shove-fight,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0115_casew013righttopcowmr021L_pid411_ep1.npz
car_best,1,118,1:clean-fast-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0118_casem030righttopcowmr003L_pid124_ep2.npz
car_best,1,124,3:light-recovery-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0124_casem030righttopcowmr016_pid329_ep1.npz
car_best,1,134,6:near-buckle-fight,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0134_casew007lefttopcowmr013L_pid165_ep0.npz
car_best,1,139,4:deep-recovery-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0139_casew013righttopcowmr021L_pid124_ep0.npz
car_best,1,140,0:clean-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0140_casew025righttopcowmr021L_pid288_ep0.npz
car_best,1,148,0:clean-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0148_casew025righttopcowmr016L_pid370_ep0.npz
car_best,1,154,4:deep-recovery-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0154_casew007lefttopcowmr021L_pid247_ep0.npz
car_best,1,161,0:clean-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0161_casem030righttopcowmr016_pid370_ep2.npz
car_best,1,162,0:clean-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0162_casem030righttopcowmr013L_pid206_ep1.npz
car_best,1,167,4:deep-recovery-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0167_casem030righttopcowmr013L_pid575_ep0.npz
car_best,2,1,1:clean-fast-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0001_casew007lefttopcowmr017_pid616_ep2.npz
car_best,2,2,0:clean-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0002_casew025righttopcowmr016L_pid288_ep2.npz
car_best,2,3,0:clean-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0003_casem030righttopcowmr016_pid534_ep0.npz
car_best,2,8,4:deep-recovery-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0008_casew013righttopcowmr013L_pid165_ep2.npz
car_best,2,10,0:clean-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0010_casem030righttopcowmr016_pid452_ep0.npz
car_best,2,16,2:cathled-sprint-success,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0016_casem030righttopcowmr016L_pid411_ep2.npz
car_best,2,21,5:shove-fight,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0021_casew025righttopcowmr021L_pid657_ep2.npz
car_best,2,23,6:near-buckle-fight,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0023_casew013righttopcowmr013L_pid247_ep2.npz
