seed,abl_best,abl_copeak,abl_last,car_1545,car_best,car_div,car_early,car_peak,succ_phase,fail_phase,rec_share,cathled_share,medT,mesh,cls,min_strong,spread_strong
81,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,free-run,stuck-proximal,0.0,0.06666666666666667,62.5,casew033lefttopcowmr011L,strength,1.0,0.0
91,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,free-run,fight-escaped-far,0.06666666666666667,0.0,70.5,casem030righttopcowmr003L,strength,1.0,0.0
108,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,free-run,fight-escaped-far,0.0,0.06666666666666667,47.0,casew007lefttopcowmr017,strength,1.0,0.0
115,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,free-run,fight-escaped-far,0.4,0.0,82.5,casew013righttopcowmr021L,strength,1.0,0.0
118,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,free-run,coiled-stuck,0.2,0.0,61.5,casem030righttopcowmr003L,strength,1.0,0.0
124,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,free-run,stuck-midpath,0.4,0.13333333333333333,76.0,casem030righttopcowmr016,strength,1.0,0.0
140,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,free-run,fight-escaped-far,0.0,0.07142857142857142,70.5,casew025righttopcowmr021L,strength,1.0,0.0
148,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,free-run,coiled-stuck,0.5,0.0,101.5,casew025righttopcowmr016L,strength,1.0,0.0
161,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,free-run,stuck-midpath,0.0,0.0,78.0,casem030righttopcowmr016,strength,1.0,0.0
162,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,free-run,doorstep-stall,0.06666666666666667,0.06666666666666667,74.5,casem030righttopcowmr013L,strength,1.0,0.0
