name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
abl_copeak,1,23,casew013righttopcowmr013L,601,shove-capped,5:shove-fight,0.847,0.903,161,480,0.992,356.54,239.135,2,1,214.181,114.172,18.226,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint760544/traj_records/20260920_231806\s0023_casew013righttopcowmr013L_pid247_ep2.npz
abl_last,1,23,casew013righttopcowmr013L,601,stuck-midpath,7:midpath-thrash,0.379,0.473,96,554,0.689,113.294,58.993,1,1,9.563,8.924,8.9,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_214821\s0023_casew013righttopcowmr013L_pid247_ep2.npz
abl_last,2,23,casew013righttopcowmr013L,601,coiled-stuck,8:mega-coil,0.739,0.839,96,399,0.762,60.531,40.915,1,1,-782.702,84.856,702.714,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_220406\s0023_casew013righttopcowmr013L_pid247_ep2.npz
car_best,2,23,casew013righttopcowmr013L,601,doorstep-stall,6:near-buckle-fight,0.899,0.903,395,10,0.982,842.925,12.931,3,1,-44.16,8.342,20.944,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0023_casew013righttopcowmr013L_pid247_ep2.npz
car_div,1,23,casew013righttopcowmr013L,601,fight-escaped-far,7:midpath-thrash,0.839,0.839,592,15,0.834,87.092,11.128,4,0,-108.79,8.024,13.83,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0023_casew013righttopcowmr013L_pid248_ep2.npz
car_early,1,23,casew013righttopcowmr013L,601,shove-capped,8:mega-coil,0.902,0.902,588,27,0.937,265.672,82.819,2,1,29.083,521.534,446.984,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint800346/traj_records/20260920_223638\s0023_casew013righttopcowmr013L_pid247_ep2.npz
car_peak,1,23,casew013righttopcowmr013L,601,deep-recovery,5:shove-fight,0.83,0.83,600,1,0.963,97.315,22.999,1,0,-24.727,8.402,5.685,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1791699/traj_records/20260920_212439\s0023_casew013righttopcowmr013L_pid247_ep2.npz
car_peak,2,23,casew013righttopcowmr013L,601,deep-recovery,5:shove-fight,0.84,0.84,600,1,0.947,100.579,24.0,1,0,-27.913,8.391,5.347,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1791699/traj_records/20260920_213839\s0023_casew013righttopcowmr013L_pid247_ep2.npz
abl_best,1,31,casem030righttopcowmr016,601,doorstep-stall,6:near-buckle-fight,0.897,0.919,52,536,0.479,50.224,12.951,1,1,-51.252,8.359,0.856,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint1005189/traj_records/20260920_204119\s0031_casem030righttopcowmr016_pid493_ep2.npz
abl_best,2,31,casem030righttopcowmr016,601,light-recovery,5:shove-fight,0.893,0.908,591,559,0.489,64.987,7.977,1,0,-50.916,8.411,1.105,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint1005189/traj_records/20260920_205236\s0031_casem030righttopcowmr016_pid493_ep2.npz
abl_best,3,31,casem030righttopcowmr016,601,doorstep-stall,6:near-buckle-fight,0.823,0.902,42,544,0.777,54.824,17.952,1,1,-86.953,6.987,4.473,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint1005189/traj_records/20260920_210147\s0031_casem030righttopcowmr016_pid493_ep2.npz
abl_best,4,31,casem030righttopcowmr016,601,light-recovery,5:shove-fight,0.89,0.909,592,558,0.501,52.872,7.977,1,0,-50.633,8.043,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint1005189/traj_records/20260920_211423\s0031_casem030righttopcowmr016_pid492_ep2.npz
car_div,1,34,casem030righttopcowmr016,601,fight-escaped-far,7:midpath-thrash,0.857,0.857,600,1,0.907,130.721,6.987,5,0,-59.389,5.953,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0034_casem030righttopcowmr016_pid494_ep1.npz
car_early,1,34,casem030righttopcowmr016,601,shove-capped,10:proximal-thrash,0.0,0.677,78,506,0.884,295.149,132.009,2,1,506.292,600.308,216.742,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint800346/traj_records/20260920_223638\s0034_casem030righttopcowmr016_pid493_ep1.npz
car_early,1,37,casem030righttopcowmr016,601,deep-recovery,6:near-buckle-fight,0.693,0.693,600,1,0.864,62.802,42.803,1,0,-85.686,8.175,11.471,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint800346/traj_records/20260920_223638\s0037_casem030righttopcowmr016_pid452_ep2.npz
car_div,1,39,casew007lefttopcowmr016L,601,doorstep-stall,3:light-recovery-success,0.962,0.962,545,60,0.727,90.116,14.108,5,1,-184.806,8.573,57.693,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0039_casew007lefttopcowmr016L_pid289_ep1.npz
car_div,1,43,casew017righttopcowmr011,601,fight-escaped-far,7:midpath-thrash,0.958,0.958,600,2,0.862,71.978,12.076,5,0,-57.218,8.973,6.831,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0043_casew017righttopcowmr011_pid535_ep2.npz
abl_last,1,47,casew025righttopcowmr016L,601,doorstep-stall,6:near-buckle-fight,0.951,0.965,64,6,0.582,215.931,37.912,1,1,-0.132,20.883,22.003,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_214821\s0047_casew025righttopcowmr016L_pid452_ep1.npz
abl_last,2,47,casew025righttopcowmr016L,601,shove-capped,6:near-buckle-fight,0.73,0.966,67,240,0.632,313.015,232.04,1,1,618.454,444.99,21.995,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_220406\s0047_casew025righttopcowmr016L_pid452_ep1.npz
